Date,TwoEngine_70_30,Engine1_Carry,Engine2_Directional,SP500_SPY,NASDAQ_QQQ,60_40_SPY_AGG,BTC_Overlay_30pct
2018-06-01,990114.302205695,1014329.1131028236,933742.5167553286,1069449.6245079385,1128128.615464869,1035753.5365284702,1114103.9501895723
2018-06-04,989423.9174546936,1011982.6578149827,936452.4354390531,1074530.9218323198,1138316.599719631,1037729.9101608486,1113336.9095644287
2018-06-05,994727.9262780771,1014412.4512823831,947939.5481349743,1075312.8618121496,1141843.4273862636,1038496.9098927043,1118743.1689749293
2018-06-06,993383.0828399321,1012202.3195751486,948486.6371276311,1084302.8493860553,1148505.003310659,1042764.7903849002,1119736.77951096
2018-06-07,993873.9698804766,1012534.1060465154,949323.5379041039,1084185.931959442,1139165.6508245608,1043605.3144226616,1120906.2328010323
2018-06-08,994276.7823242074,1015023.0352464704,945161.1088602757,1087390.6944901869,1139231.0672820837,1044864.7781437306,1118675.865136983
2018-06-11,967287.1857251142,1007258.0412318724,876514.0698785665,1088837.1185434333,1142300.6087504567,1045263.997984841,1087557.2144320018
2018-06-12,966379.1571862536,1007731.2157137422,872810.5854861492,1090244.9739809923,1148308.753938091,1046193.6190435183,1072327.4366176866
2018-06-13,965942.2448945346,1007473.5312902534,872015.9861299352,1086765.7886820831,1148243.4423146348,1043794.4715647731,1061066.7477822467
2018-06-14,966468.4567487959,1007932.0698657532,872673.3971588685,1089501.4006869248,1159868.3871194988,1046438.7722354882,1077480.7654862078
2018-06-15,965253.787397347,1006125.3628854323,872667.3756522932,1088111.920872547,1155819.066465217,1045796.0466817173,1066987.899659962
2018-06-18,961620.8451735927,1000545.5569703947,873017.1589536961,1085873.8642030675,1155151.6927976054,1044584.698222517,1081055.8706084967
2018-06-19,959135.1942897601,996793.6080633403,873133.7845403778,1081711.6845876107,1151879.087742339,1042616.347331805,1082848.1798444989
2018-06-20,960263.3087119131,998411.4069432891,873250.4257069681,1083557.3914126873,1160060.2334612722,1042896.9474154168,1083266.6127547035
2018-06-21,960439.794797779,998616.3844130979,873367.0824555481,1076764.4014234978,1149981.171801648,1039092.31249673,1081123.0858557713
2018-06-22,961402.7910930676,999989.6032998617,873483.7547881996,1078727.900704863,1147428.6719494641,1040621.9315982814,1050088.0692394283
2018-06-25,957794.7476384263,994460.0571465483,873833.8653114024,1064043.287314176,1121576.6959740776,1031886.4434476509,1058908.783305857
2018-06-26,956587.5561601648,992612.5447943306,873950.6000011609,1066398.9345100191,1126158.1543501308,1033919.7754575922,1051102.5510972429
2018-06-27,957193.2680883922,993453.6052350729,874067.3502854028,1057564.9041482394,1110843.574573293,1029522.0028661101,1054484.7217479725
2018-06-28,956160.4864971767,991865.4341836673,874184.1161662115,1063611.4265144353,1120398.7804024026,1033014.9623247525,1041549.0661277693
2018-06-29,957034.7545805117,993104.2402951061,874300.8976456706,1065142.5265162594,1123409.4051253786,1034257.3125380179,1058311.764080288
2018-07-02,959492.6038374745,996572.7004626971,874651.3356967887,1067419.6229712518,1130936.1766009515,1035190.0569235914,1078630.1931402418
2018-07-03,961262.931041118,999142.4191078151,874768.1795916897,1063650.6682298733,1117846.0708820857,1033856.38324127,1074592.6005672556
2018-07-05,961648.7374455127,999600.8754753856,875001.9142107933,1072327.6644199267,1131721.174091224,1039306.1524564633,1080187.98121899
2018-07-06,959488.8505077772,996336.319589947,875118.8049391665,1081397.8181740833,1149326.587890155,1045010.7609311232,1081966.0969078941
2018-07-09,960663.2354137,997906.7204471085,875469.570824602,1091135.1484006576,1159667.3153798697,1050263.8185615498,1085681.6291301697
2018-07-10,961079.2813796186,998466.981315165,875586.5240268068,1095061.4738636375,1160518.6728342636,1052215.3361156785,1065888.4610510073
2018-07-11,960870.2299821085,998099.553936294,875703.492852686,1087051.5868360265,1154627.7321330244,1047755.9119915061,1069259.567518612
2018-07-12,963091.5062855143,1001338.611114293,875820.4773043267,1096906.7768288641,1174524.0847881148,1053967.788017059,1061037.5188276763
2018-07-13,963335.8039522662,1001644.1383168167,875937.4773838164,1097770.7676682458,1175505.646153155,1054862.0852617049,1061608.918270573
2018-07-16,955998.8986113085,990585.9180813519,876288.5714102578,1096788.9170626006,1172691.3756368137,1053820.685043332,1087348.3273769044
2018-07-17,950837.6705291881,982889.2677220304,876405.6340220233,1101225.923306072,1179825.4386991176,1056220.1448179698,1115479.3795831522
2018-07-18,950232.4956318918,981939.3168530224,876522.7122720791,1103542.261476502,1177599.9163004807,1057433.9120084092,1117857.2882132006
2018-07-19,952726.8241956288,985565.3239818129,876639.8061625143,1099380.7549607954,1171709.499769574,1055677.8699806067,1122333.291973601
2018-07-20,953082.8550644428,986035.0443660292,876756.9156954183,1098123.7411772606,1171448.1484416828,1054120.8867333746,1117354.9581870674
2018-07-23,952272.184794873,984664.8701145705,877108.338169841,1100165.8585094514,1175178.3541974085,1053829.0479737914,1133862.1009214835
2018-07-24,952812.2025943467,985406.1915485318,877225.5102935196,1105702.1712649814,1180021.4784035524,1057607.9110539497,1165427.5993011394
2018-07-25,953169.731591463,985878.0023466846,877342.6980701181,1115125.365838128,1196514.393088331,1063055.7365841016,1155456.4781681055
2018-07-26,953358.1529757156,986099.9685521229,877459.9015017275,1112494.5554643956,1178385.5427951522,1061310.7008490693,1145827.715819236
2018-07-27,953539.2202265167,986548.447644811,877084.2467351193,1104955.636332013,1162481.7955643442,1057315.7838242278,1155161.47076012
2018-07-30,957331.8131582523,991499.362131846,878444.6729881077,1099184.1425237565,1146054.1925030216,1053563.573500493,1156147.0473704226
2018-07-31,955675.0765450639,989270.1040078228,877985.7802015184,1104602.1916531725,1154824.0863396593,1057037.2304825834,1139293.866576083
2018-08-01,956781.1850145129,990889.1158564717,878020.3439790577,1102757.2925477962,1159209.190509078,1055542.386437549,1132568.112459391
2018-08-02,955910.5280981221,989549.6145989686,878126.5459535493,1108764.5058885796,1174981.9999907743,1059152.2487264602,1130100.1910704018
2018-08-03,958015.7456649143,992610.7016010606,878234.6330216943,1113515.4458555533,1178582.2115039867,1062796.938644953,1124257.8504856217
